0	1	3
0	2	3
0	3	1
0	4	3
0	5	2
0	7	2
0	9	2
0	10	2
0	11	3
0	59	3
0	60	3
0	61	2
0	62	1
0	63	2
0	69	2
0	72	1
0	84	1
1	0	3
1	2	3
1	3	1
1	4	3
1	5	3
1	6	1
1	7	1
1	9	2
1	10	2
1	11	2
1	13	1
1	36	1
1	59	3
1	60	3
1	61	2
1	62	2
1	63	2
1	69	2
1	72	1
1	82	1
1	83	1
1	84	1
1	85	1
2	0	3
2	1	3
2	3	2
2	4	3
2	5	2
2	6	1
2	7	2
2	8	2
2	9	3
2	10	1
2	11	3
2	12	1
2	13	2
2	21	1
2	31	1
2	34	1
2	35	1
2	36	2
2	60	2
2	61	2
2	62	2
2	63	2
2	69	2
2	70	2
2	72	2
2	83	1
2	84	1
2	85	1
3	0	1
3	1	2
3	2	1
3	4	1
3	5	1
3	6	2
3	7	1
3	8	3
3	11	2
3	13	1
3	14	3
3	15	3
3	21	1
3	31	1
3	32	1
3	36	1
3	41	1
3	42	1
3	43	2
3	47	1
3	58	1
3	61	2
3	62	1
3	63	1
3	64	2
3	66	1
3	67	2
3	69	1
3	70	3
3	71	2
3	72	1
3	77	2
3	82	1
3	83	1
3	84	1
3	85	1
4	0	3
4	1	2
4	2	3
4	3	2
4	5	2
4	7	3
4	9	1
4	10	1
4	11	3
4	14	1
4	31	1
4	36	2
4	42	1
4	43	1
4	47	1
4	59	1
4	61	2
4	62	2
4	63	2
4	66	1
4	69	3
4	70	2
4	71	1
4	72	2
4	77	1
4	82	1
4	83	1
4	84	1
4	85	1
5	0	3
5	1	3
5	2	2
5	4	3
5	6	1
5	9	2
5	12	1
5	13	2
5	14	1
5	29	1
5	30	1
5	32	1
5	33	1
5	34	2
5	35	1
5	36	2
5	37	1
5	44	1
5	45	1
5	58	1
5	61	1
5	62	2
5	63	2
5	66	1
5	67	1
5	68	2
5	69	3
5	70	2
5	71	1
5	72	2
5	77	1
5	82	1
5	83	1
5	84	2
5	85	1
5	86	1
6	2	1
6	3	2
6	5	1
6	7	1
6	8	2
6	13	1
6	14	2
6	21	1
6	32	1
6	36	2
6	41	1
6	43	2
6	45	1
6	58	1
6	65	1
6	66	2
6	67	2
6	70	2
6	71	2
6	82	1
6	83	1
6	84	1
6	85	1
6	86	1
7	1	1
7	2	1
7	4	3
7	8	2
7	11	2
7	14	1
7	21	1
7	61	2
7	69	2
7	70	2
7	83	1
7	84	1
7	85	1
8	3	3
8	7	2
8	10	1
8	14	2
8	21	2
8	42	2
8	43	2
8	61	2
8	66	1
8	69	1
8	70	2
8	83	1
8	84	1
8	85	1
9	0	3
9	1	3
9	2	3
9	3	1
9	4	1
9	5	2
9	10	2
9	11	2
9	13	2
9	21	1
9	34	1
9	36	2
9	45	1
9	47	2
9	48	1
9	61	2
9	62	2
9	63	2
9	69	2
9	70	2
9	72	2
9	77	1
9	83	1
9	84	1
10	0	2
10	1	2
10	2	1
10	4	1
10	7	1
10	8	1
10	9	2
10	11	2
10	13	2
10	21	1
10	34	1
10	36	2
10	47	2
10	48	1
10	63	1
10	68	2
10	69	2
10	70	2
10	72	2
10	77	1
10	83	1
10	84	1
11	0	3
11	1	2
11	2	3
11	3	1
11	4	3
11	7	2
11	9	2
11	10	2
11	12	3
11	13	2
11	21	2
11	32	1
11	34	1
11	41	1
11	42	1
11	43	1
11	45	1
11	46	2
11	47	2
11	48	1
11	61	2
11	69	2
11	70	2
11	72	2
11	77	1
11	82	1
11	83	1
11	84	1
11	85	1
12	2	1
12	5	1
12	11	3
12	13	2
12	14	1
12	15	2
12	21	2
12	32	1
12	34	1
12	41	1
12	42	1
12	43	1
12	44	1
12	45	2
12	46	2
12	47	2
12	48	1
12	61	1
12	63	1
12	69	2
12	70	2
12	72	2
12	77	1
12	82	1
12	83	1
12	84	2
12	85	1
13	1	1
13	2	2
13	3	1
13	9	2
13	10	1
13	11	1
13	21	2
13	29	1
13	31	2
13	32	3
13	33	1
13	34	2
13	35	2
13	36	3
13	37	2
13	38	2
13	41	1
13	42	1
13	43	1
13	44	1
13	45	3
13	46	2
13	47	1
13	61	2
13	68	2
13	69	2
13	70	1
13	72	2
13	73	3
13	77	2
13	79	1
13	82	1
13	83	1
13	84	2
13	85	1
13	86	1
14	3	3
14	4	1
14	5	1
14	6	2
14	8	2
14	9	1
14	11	2
14	12	2
14	15	2
14	21	1
14	23	1
14	24	1
14	28	2
14	29	2
14	30	1
14	31	2
14	32	2
14	33	2
14	34	2
14	35	2
14	37	1
14	38	2
14	41	2
14	42	1
14	43	2
14	45	1
14	47	1
14	48	1
14	57	1
14	58	2
14	64	2
14	65	2
14	66	3
14	67	3
14	69	1
14	70	2
14	71	3
14	76	1
14	77	1
14	79	2
14	81	1
14	82	1
14	83	1
14	84	1
14	85	1
14	86	1
14	87	1
15	2	1
15	3	3
15	4	1
15	5	1
15	9	1
15	10	1
15	11	2
15	12	2
15	13	1
15	14	2
15	41	1
15	43	2
15	44	1
15	45	1
15	47	1
15	48	2
15	61	2
15	70	2
16	17	2
16	18	3
16	19	2
16	20	2
16	21	1
16	22	1
16	40	1
16	47	1
16	53	3
16	54	2
16	57	1
16	58	3
16	64	1
16	65	2
16	66	1
17	14	1
17	16	3
17	18	2
17	19	2
17	21	2
17	22	1
17	41	1
17	42	2
17	43	2
17	47	2
17	48	1
17	54	3
17	55	3
